id,annual_risk,hourly_wage,age,sex,race,work_experience,union,blue_collar
3912,0.0012499999720603228,11.363636016845703,28,1,1,1,0,1
3921,2.500000118743628e-4,5.3257575035095215,64,0,1,1,0,1
3942,2.500000118743628e-4,3.9393935203552246,31,0,1,1,0,1
3948,0.001500000013038516,9.469696998596191,33,1,1,1,0,1
3964,7.50000006519258e-4,7.5757575035095215,39,1,1,0,1,1
4008,5.000000237487257e-4,12.121212005615234,34,1,1,1,0,0
4031,0.0011195000261068344,9.25,32,1,0,0,1,1
4049,0.0010000000474974513,11.150443077087402,37,1,1,1,0,1
4064,2.500000118743628e-4,7.651515007019043,37,1,1,1,1,1
4068,0.0024999999441206455,7.079646110534668,40,1,1,0,0,1
4075,0.0010000000474974513,5.7522125244140625,31,1,1,1,0,0
4122,0.0010000000474974513,7.81818151473999,29,1,1,0,0,1
4160,7.50000006519258e-4,4.090909004211426,25,1,0,1,0,0
4165,0.0010000000474974513,9.340909004211426,25,1,1,1,1,1
4174,2.500000118743628e-4,13.63636302947998,56,1,1,1,1,0
4190,7.50000006519258e-4,4.35606050491333,51,1,1,1,0,1
5201,0.0017500000540167093,11,28,1,1,1,1,1
5212,0.0010000000474974513,7.690000057220459,50,1,1,1,0,1
5239,0.0010000000474974513,13.5,31,1,1,1,1,1
5252,0.001500000013038516,13,34,1,1,1,1,1
5255,7.50000006519258e-4,11.59829044342041,43,1,1,0,1,1
5269,0.0010000000474974513,16,57,1,1,1,1,1
5275,5.000000237487257e-4,11.111111640930176,47,1,1,1,1,1
5349,2.500000118743628e-4,3.6666667461395264,43,0,0,0,0,1
5383,5.000000237487257e-4,9.829060554504395,35,1,1,1,1,1
5507,2.500000118743628e-4,3.931623935699463,22,0,1,1,0,1
5602,0.0012499999720603228,10.179487228393555,32,1,1,1,0,1
5606,0.001500000013038516,8.632479667663574,25,1,1,1,0,1
5614,2.500000118743628e-4,11.111111640930176,61,1,1,1,1,0
5671,0.001500000013038516,12.700855255126953,44,1,1,1,1,1
5696,2.500000118743628e-4,5.623931884765625,35,0,1,1,0,0
5741,0.0012499999720603228,8.449999809265137,28,1,1,1,0,1
5859,0.001500000013038516,12.307692527770996,46,1,1,1,0,1
5874,0.001016999944113195,15,49,1,1,1,0,1
5892,5.000000237487257e-4,8.84615421295166,55,1,0,0,0,1
5901,2.500000118743628e-4,8.88888931274414,39,1,1,1,1,1
5917,0.0020000000949949026,14.09000015258789,32,1,1,0,1,1
5933,0.0017500000540167093,12.777777671813965,57,1,0,1,1,0
5941,5.000000237487257e-4,11.111111640930176,64,1,1,1,0,1
5956,5.000000237487257e-4,14.957265853881836,63,1,1,1,0,1
5978,7.50000006519258e-4,6.957447052001953,29,0,1,1,0,0
5997,5.000000237487257e-4,4.858156204223633,34,1,1,1,0,1
6003,5.000000237487257e-4,2.1985814571380615,42,1,1,0,0,1
6013,5.000000237487257e-4,9.672131538391113,46,1,1,1,1,1
6019,7.50000006519258e-4,9.219858169555664,31,1,1,1,1,1
6077,0.001500000013038516,4.52482271194458,25,1,1,0,0,1
6084,7.50000006519258e-4,10.65573787689209,35,0,0,0,1,1
6088,2.500000118743628e-4,4.964539051055908,66,1,1,1,0,1
6136,2.500000118743628e-4,7.801418781280518,24,0,1,1,0,0
6154,4.360000020824373e-4,7.092198848724365,51,1,1,1,0,0
6292,5.000000237487257e-4,9.219858169555664,44,1,1,1,1,1
6354,0.0010000000474974513,5.319149017333984,30,1,1,1,0,1
6361,0.0012499999720603228,10.245901107788086,36,1,1,1,1,1
6375,0.0010000000474974513,6.163934230804443,68,1,1,0,1,1
6422,2.500000118743628e-4,8.770491600036621,23,1,1,1,1,1
6425,0.0017500000540167093,10.65573787689209,44,1,1,0,0,1
6466,2.500000118743628e-4,5.531915187835693,47,0,1,1,0,1
6470,2.500000118743628e-4,7.092198848724365,31,0,1,1,1,1
6473,0.0010000000474974513,4.404255390167236,49,1,1,1,1,1
6487,0.0017500000540167093,11.008196830749512,33,1,1,1,1,1
6494,0.0010000000474974513,7.147541046142578,55,1,1,1,1,1
6509,0.0012499999720603228,4.918032646179199,50,1,1,0,1,1
6514,5.000000237487257e-4,4.918032646179199,35,1,1,1,0,1
6521,0.0010000000474974513,5.801418781280518,60,1,1,1,1,1
6544,0.0012499999720603228,8.510638236999512,43,1,1,1,0,1
6555,0.0012499999720603228,4.508196830749512,28,1,1,1,0,1
6567,0.0011195000261068344,9.016393661499023,47,1,1,1,1,1
6608,7.50000006519258e-4,6.204917907714844,55,1,1,1,1,1
6621,2.500000118743628e-4,6.147541046142578,59,1,1,1,1,1
6626,0.0020000000949949026,4.964539051055908,45,1,1,1,0,1
6647,2.500000118743628e-4,9.83687973022461,39,1,1,1,0,0
6691,0.0020000000949949026,6.0992913246154785,28,1,1,1,0,1
6710,0.0010000000474974513,10.097345352172852,47,1,1,1,1,1
6713,0.0011195000261068344,5.929203510284424,57,1,1,0,0,1
6751,7.50000006519258e-4,9.469696998596191,48,1,1,0,1,1
6758,0.0010000000474974513,6.814158916473389,29,1,1,1,0,1
6765,2.500000118743628e-4,7.123894214630127,52,1,1,1,0,1
